comment,sentiment,length
attaullah esakhelvi ka shumar un gine chune artists mein kiya jata hai jin ki maqboliyat mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio tv ya film ke marhoon e minnat nahi hai,positive,193
agarcha aise artists mein munni begum aur aziz miyan qawaal ka naam bhi shamil hai,positive,82
lekin top of the list attaullah esakhelvi ka naam he samjha jata hai,positive,68
jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai dilchasp bhi aur kar hawalon se qabil e taqleed bhi,positive,117
in mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,positive,71
jab school teachers ne in ki awaaz suni to mukesh aur rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,positive,173
wohi un ki infaradiyat bana,positive,27
yahin qismat ki devi un par meharban hui aur rehmat gramophone house naami aik company ne un ke songs ki recording ki udhar zindagi ka janaza uthega aur saraiki geet naki jae gal tu rus naa ae dhola choti si baat par naraz ho jate ho maahi jab market mein aae to jaise hulchul mach gai,positive,285
har taraf ataullah niazi ki singing ka charcha hone laga,positive,56
lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,positive,80
radio aur tv jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,positive,127
lekin dosri taraf village dehaat qasbon buses wagons aur chae khano mein attaullah esakhelvi ki awaaz ka tota bol raha tha,positive,122
taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke attaullah esakhelvi ki cassette lagaoge mianwali ke logon ne inhe bataya ke tumhare naam se esakhel mein hotel khul gae hain,positive,206
jagah jagah tumhari taswirein lagi hain aur mianwali mein sirf tumhari cassette he farokht hoti hai to attaullah esakhelvi ne phir esakhel jane ka qasd kiya,positive,156
phir yeh hua ke radio pakistan ke farmaishi naghmon ke programs mein log attaullah esakhelvi ke songs ki farmaiysh karte,positive,120
radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein attaullah esakhelvi ko madaoo karen aur aakhirkar majboor ho kar attaullah esakhelvi se radio pakistan aane ki darkhuwast karni parhi,positive,209
ki dehaai ka yeh wo zamana tha jab attaullah esakhelvi aik cassette ki recording ka muaawza lac rupees liya karte the,positive,117
tahum radio par songs ka muaawza inhe rupey ka cheque mila jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai,positive,125
sirf yehi nahi bal ke radio par recording se qabal inhe audition awaaz ki qaulity ka imtehaan kea mal se bhi guzarna parha,positive,122
phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms cars ke sound systems aur video libraries mein jagah bana li,positive,130
beron e mulk basne wale pakistani jab watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate,positive,156
is tarah europe aur mashriq wastee mein bhi wo pakistan ki aik manoos aur maqbool awaaz ban gae,positive,95
mein inho ne pehli martaba british ka tour kiya to wahan bhi dhoom macha di,positive,75
diyar e ghair mein basne wale in ke songs sunn kar apno ko yaad karte to in ki aankhon se aansoo rawaan ho jate,positive,111
naujawan ladke aur ladkiyan walihana raqs karte to gorey bhi be saakhti ke aalam mein in ka sath dete,positive,101
england aamad o raft ka silsila shuru hua to aik pakistani nasaad british ladki ko dil de bethe,positive,95
is tarah wo aaj tak sab ke lala he hain,positive,39
yeh aezaaz ab tak attaullah esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,positive,146
inho ne hukomat e pakistan se tamgha e imtiaz hasil karne ke sath malika british se life time achievement award bhi hasil kiya hai,positive,130
mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se guinness book of world record mein bhi darj tha,positive,131
torkham se karachi tak truck drivers ka safar un ki awaaz ke sath hota hai,positive,74
president ayyab khan mohtarma fatima jinnah baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain lekin attaullah esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai,positive,282
she played a fantastic role in the drama serial aangan terha with shakeel siddiqui and saleem nasir late,positive,104
bushra ansari received many more different prizes and awards in her life,positive,72
she received an award of pride of performance and women life achievement award from benazir bhutto,positive,98
she won the ptv award and lux style award also,positive,46
bushra ansari performed interesting role in the film abhi to main jawan hon from geo tv,positive,87
yeh beyk waqt actress singer host comedian and drama nigaar ke taur par pehchani jati hain,positive,90
inka har andaaz munfarid aur har roop judagana hai,positive,50
sanjeeda acting comedy parody singing hosting aur ab drama nigari,positive,65
inho ne har field mein apna loha manwaya hai,positive,44
jis se in ki do betiyan hain,positive,28
intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya,positive,113
bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain,positive,108
career bushra ansari sirf saal ki umer mein he ptv ke children music show kalbon ki mala ki regular performer ban gai thin,positive,122
to farooq qiaser ne inhe apne show kalliyan ke liye muntakhib kiya,positive,66
is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin,positive,69
bunyadi taur par yeh bahon ka show tha lekin ise har umar ke nazreen barhe shauq se dekha karte the,positive,99
bushra ne sab se pehle iqbal ansari ke aik drama mein acting ke johar dikhaey,positive,77
lekin bushra ko sab se ziyada shohrat anwar maqsood ke show shosha se mili,positive,74
jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,positive,60
yeh character itna popular hua ke jab kabhi bushra ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati,positive,157
bushra ansari ka aik aur aeham show aangan terha hai jise anwar maqsood ne likha aur us mein inho ne shakeel siddiqui aur saleem nasir marhoom ke hamrah yadgar performance di,positive,174
comedy shows ki bat ho to sab se pehle ptv ki tareekh ke maqbool tareen show fifty fifty ka naam zehan mein aata hai,positive,116
is show ko maqboliyat ki bulandiyon tak pohnchane mein jahan ismail tara aur majid jahangir ki lajawab performance ka dakhal tha to bushra ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori,positive,226
inho ne chehre ke tasurrat aur body language ke zariye in roles mein jaan daal di,positive,81
bushra ansari ne har umer ke role adaa kiye hain jin mein young udherh aur old age sab he shamil hain,positive,101
personality bushra ansari ko sirf acting mein he malka hasil nahi bal key eh aik shandar shakhsiyat ki bhi malik hain,positive,117
yeh guzishta saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai,positive,148
kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai,positive,87
dilchasp harkaat dilkash personality aur khobsurat chehre ki malik bushra ansari har umar ke nazreen mein popular hain,positive,118
chand maah qabal inho ne geo tv ke show dolly ki aaegi baraat mein saima chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya,positive,140
yaar yeh be fitt hai,positive,20
ap to hero ho autograph do na,positive,29
autograph milay ga zroooor milay ga,positive,35
hahahaha ye acha hai p,positive,22
apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr,positive,58
haahahhan zrooryar mjhe acha lgta jb yeh ese post krte,positive,54
hahahaaqasmay dil ki awaz hai meri ye page d,positive,44
aala d d,positive,8
app k dil ki bhi,positive,16
buht achi bat kahi he,positive,21
uff yeh apki paakbaaz soch,positive,26
cara jvd bilkul aisa hi kuch main apko b kehna chahti hn d,positive,58
hahaha wah saen wah,positive,19
baari ap to famous ho gai hain,positive,30
hahaha ye time nahi nikal skta u r too demanding girl,positive,53
khushi se hori hy itne likes dekh k,positive,35
ufff dono kis trha parri hain dd chalo na krwao p,positive,49
akhir student kis k hnnnnn,positive,26
ji bilkul paisaaa wasooool comments,positive,35
aap tau millionaire ban jaen gee,positive,32
pskistani jawano lagatay raho imran khan k doz aik din number one per aa jao gay tabdeeli,positive,89
hahaha tum to hurr jaghaa famous ho,positive,35
caption khass ap ky liye d,positive,26
saas bahu ka rishta nawaz sharif r mamnoon hussain ko bhi peeche chore de,positive,73
apnay kharchay khudd uthaa saknay wali independent aurat ko jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay k g mein tou boht azeem aadmi hun k o biwi tumhara kharcha uthaa rha hun izzat k sath zindagi guzaar rhi ho ussay kehtay hain kaamyaab aurat,positive,270
meri nazr me kamyab orath wo he jo khud mehnat or himmat kr k apna career bnaye or peso k lie kisi mrd ki mohtaj na ho,positive,118
talaash jaari rakhein aap aik din kamyaab aurat banein gi,positive,57
inshallah hum dono kaamyaab rhen apne naik iraadon meintune tou shiad dhond liyaya abhi bhi talaash jaari,positive,105
pta nahi kahan hoty hain aese kamyab mard,positive,41
hehehehehe unmarried hona chahiye bs,positive,36
oooppss to phle bolti na dash mjhe lga meri pysri dost mere liye soch rhi hai chal tu rakh lena,positive,95
kamiyab aurat bnna chahti hun meri sadgi dikh mai kya chahti hun,positive,64
mai khud kamyab bnna chahti ho samw khwab hai hmare yad nae tme,positive,63
meri jesi kamiyabiyan na karna tum log go for a mzeed rich bitch,positive,64
mil jae ga dnt worry,positive,20
dekho wo hum ny reject krdia na ye b kaamyabi hi hoti hai,positive,57
k mn kia hoga yr xd,positive,19
abhi o party shoro hoi he,positive,25
jo wife ko apni pay k mutabiq kharcha krae wohi kamyab mard hy,positive,62
hahaha kal ki debate k baad kamyab aurat ka award aap ko jata hai,positive,65
hahahaha shukria shukria,positive,24
yani hum dono kamyab hain,positive,25
kyn k tu khud ek kamyab aurat hai lol apni mehnat se,positive,52
mere pas kamyaab maa hai,positive,24
yeh tou hai mard apni biwi ki kismat say hi kamaata hai,positive,55
hum hun gay kamyab aik din,positive,26
mene dhoundh lia akhir i m lucky,positive,32
hum honga kamyab aiek din,positive,25
allah tallah hama b aisa hi banda da,positive,36
hum no e kamyab hain,positive,20
wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya hai,positive,63
hum kaamiyab hein,positive,17
jab dono khameeyab haan tou bari kushe ki bat hai jasy men khmeeyab mard,positive,72
allah khair kay ga,positive,18
alhamdulillah me kamyab aurat,positive,29
bilkul sahi kaha,positive,16
bhai app kamyab hain,positive,20
although ham nay apny kharchay kam kr liay han hahahahahahah,positive,60
mashaallah allah pak sb k leay acha keray ameen,positive,47
ameen han sana no extravagence,positive,30
baat dil ko achi lgi,positive,20
point pe hy puray,positive,17
ye hoti hai kamyabi,positive,19
koi nahi perfectly imperfct tou mil jye ga,positive,42
mil jaye ga apna dhondh ln phir tmhry leay b,positive,44
haha acha chlo koshish krna dono bhai hon aur bara vala mra,positive,59
haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g,positive,74
har pal har dum azam hmara sb sy perfct jo vo shakhs hmara,positive,58
lkn phr b roub tou bari ka hi hota,positive,34
yr wesy mil k sb ko set kr dyn gyn,positive,34
ptq nahi ab set krengy ya khud set hongy,positive,40
bs sahi wa swery fir uni da hostel done ay d,positive,44
haha idea bura nahi tha wesy chalo nxt sae,positive,42
xactlycup apnaspoon apna sakoon apna,positive,36
aisaaa hi hai,positive,13
tere lye bday gft mil gya,positive,25
koi issue nahi bhale mera cup use karen beta meri bottle b har koi use karta hai,positive,80
pyar bharta hai ase,positive,19
kiaa pata behna shareef ho,positive,26
shareef hi hai,positive,14
tm dost ho yar keh skti ho,positive,26
me idhr b aisi hun apko islamabad ka shak pra rehta,positive,51
alhumdulilah ghalazat to nhi hai,positive,32
hahahhaahaha me to kahin sa b maesna nahi lgta tumhain pta nahi kaisay lgta,positive,75
hahah hum bi apko sharif hi smjta han jnb,positive,41
haha haha haye mei war jaon,positive,27
tm mere kch kehne se pehle he smjh jatay ho sb,positive,46
woh to mashaallah se meri qabliat hai,positive,37
aur masoomiyat bhi,positive,18
ye apke liye likha gaya hai area per square eench p,positive,51
bhai main ek shareef insan hon p,positive,32
yd hai aik mohtrma hua krti ti shareeef tareeen bibi,positive,52
hahamtlb main shareef nazar aati hun,positive,36
wyse main shareef hun b,positive,23
no galazaat,positive,11
wo to shukar hy aesi technology ai nh abhi,positive,42
shreef bcha,positive,11
hn hn bohot shreef,positive,18
bolti rahu but ma messani nahi,positive,30
bht saaaf or shareeef hun koi ghalazat nahi,positive,43
wah wah kia soch pyi hy shahneez,positive,32
dair aye pr drust aye,positive,21
hi rabi tu kitni famous hu gai,positive,30
meray shareef dost,positive,18
hell true waday tusi sharif hunh,positive,32
han koi shak nahi,positive,17
pyari baat,positive,10
ap k liay kuch khoobsurat batain,positive,32
haha dafa karo aj kal ghlazat sy door he rehta hun d,positive,52
ap b shreef hain isi leye mn apko shareef lgi,positive,45
sahi kaha,positive,9
shabash khabeesni sahi boli aik dum,positive,35
aur tm safai se kr jati ho,positive,26
saif tumhry kapry nusrat api pehan sakti hainnhi na tu phir,positive,59
moqay py choka,positive,14
sb hi mazay k hain,positive,18
aja pilati,positive,10
janeman sari chizaaay kehlaooo gi treat pr,positive,42
dabba khali is liye ho ga kyun k tum kaha chuki ho gi na,positive,56
sharab pin gy wd sheesha sutty lgain gy jani sutty,positive,50
ye ly or fkr na kr hm hain,positive,26
peene wala bann aja tujhy sahi se coca cola pilaoga,positive,51
buri bat achhy bchchy galiyan nhi dety,positive,38
nhe tum itna taradud na kro bus aj ka mera bill tumhari taraf sa ma na sasta ma maaf kea,positive,88
ap mahaan ho ap india chaly jao,positive,31
anum tum kini pyari ho,positive,22
bas bas bhan itna pyar na do samhala nae jay ga,positive,47
aray is se b ziada don gi ane to do,positive,35
achha krti ho,positive,13
sae kaha,positive,8
allah ka shuakr hy ye tw hum per,positive,32
changi gal hy,positive,13
hum girls hn isliye judge kr skti hn but as a psychologist nhe kr sktienajeeb bat hai mem ko btaen gy hum kr skti hn judge bcoz we r girls,positive,138
tab main tumain btao ge na aur bhe maza ae ga,positive,45
ya ya they have all rights to do that with out any regret,positive,57
hahhahaha kesy hm apny points ko defend krty hy use hm bba krny k bad bhi lawyer bn skty hy,positive,91
wo to hm bne bnaye hain,positive,23
hehehe bs kbhi gharoor nhi keya,positive,31
hahaha ap tu bhot masoom hain,positive,29
dont care djudge kro hamen or saro,positive,34
our aja khedeye is zada cute,positive,28
uper waly portion will always welcome them,positive,42
hahaha a jaoo yahe kam best haii ab,positive,35
or check kr hamari predictions almost such b niklti then d hahaha,positive,65
or baray achay say yeh kaam hum anjaam detay hain,positive,49
bs dehko urdu agye parhna,positive,25
hehehehe wo b spcl logn koo judge kia jataa naa meshhhhiii proud to b spcl one,positive,78
tmara pasandeedaaa kam d,positive,24
fav kaam hai hummara yaar,positive,25
hmri jugjmnt kaml ki hai nw,positive,27
hahahaha bht hi enjoy karty thy hm gari me fiza k sath b,positive,56
o haan fiza hahha usy kdr bhool skty hahahha,positive,44
hahahahahahahahaha chalo chalo naiki aur pooch pooch,positive,52
tu jahan mein wahan meri aziz,positive,29
men samjha ap ne likha hai ao logon ko haj kratay hen lol,positive,57
behtreen hogaya,positive,15
jao ja k hajj kro,positive,17
ajao yah hmara fvrt kam hai,positive,27
hahaha hum to master hain is kaam mein,positive,38
ajaoajj main mood main houn,positive,27
haa sahi gaalh aaah,positive,19
ao un k gunah kum krty hain,positive,27
aur unhy pak krty hain,positive,22
tbi wo white lgty hain,positive,22
hmari tu prediction b sahe hoti hai,positive,35
fiqr na faqaa aish kr kaka,positive,26
jaani grand party hogi i am overexicted for your day tu lagdi lahore ki cause tera mohn chetaa hath kalay,positive,105
hahahah hawn kh dn gii tm b mera taraf sy uncle aunty ko shukriya kh do,positive,71
hahahahah idea axhw hai api,positive,27
jizroor mei apne aunty ka dilse shukriya ada krti huu,positive,53
anty ko thanksss bolanty i love you thanku so much,positive,50
mera to salam bol pair chhuuuh anti ne mjhe jo btya tha hahahahahahahahaha,positive,74
yes of course im thankful to your parents namooni,positive,49
aunty ka bhot bhot shukriya krdena meri trf se,positive,46
phupo ko thanks bolin meri trf sy bht bht,positive,41
uncle anti ko dill ke gahriyoen sa thanks bolna mere traf sa,positive,60
aunty uncle ko yaad se thnku bolin meri taraf se,positive,48
aunty k lie meri taraf se aik chummi idhr aik chummi idhr,positive,57
woi naa khushaal gharanaaa hamra,positive,32
bht shukria rna m apni dil diyan gallan kisko sunato,positive,52
mairi taraf sy uncle aunty ko thanks bolna,positive,42
uncle anty ko meri taraf syyyh buht buht shukriaaaa kehna,positive,57
hahahah ok ok aur meri taraf say be uncle aunty ko shukriya keh dena,positive,68
apny apny ami abu ko mri trf sy shukria bl dy,positive,45
hahahaha meri trf se b uncle aunty ka dhanaywaad,positive,48
kancha item dia hai inshort,positive,27
meri zindagi k tum anmol namonay,positive,32
hahaha dekha hamari importance,positive,30
dekh lo beta hum namono k bagair tumahara guzara bhi nahi,positive,57
shukriya bht bht aapke parents ka k mujhe yeh gift diya unho ney,positive,64
thank u uncle anty warna mai incmplte rh jati,positive,45
shukr hy ye namoona peuda kya thanks to uncle aunty,positive,51
by itkhtyr qahqa laga hai myra tm b bst sy opr ho,positive,49
hahahahahahahahahahhaha haso haso wanjo kri krto,positive,48
tmahari ammi abu ka shukrea tmhari birthday pe kea tha ada mene ab tmhari b aari birthday unka b krungi,positive,103
apni mama ko zarur thanks keh dena from my side loveeee bohat cute ho tm,positive,72
aunty ko bhttt bhttt shukriya kehna,positive,35
hahahahaha bas bas is khushi mai kal dilpasnd ki meethai le aana,positive,64
humy k parents ka shukriya krna chahiye,positive,39
uncle aunty ko meri trf se topon ki salamiii,positive,44
aunty ko mri trf se thanku bol dena with kissy,positive,46
its a great pleasure,positive,20
mn khudhh aungi specially,positive,25
dill ki gehraion se dhanywaar,positive,29
thanks boldena meri taraf se,positive,28
thank u bol apne parents ko meri taraf se,positive,41
hahah wai i owe a special thankyou party to uncle n aunty then,positive,62
d ke la ma ta tag kolibtw a big thankooo,positive,40
beshak kissi or k bas ka kaam nh ya,positive,35
sana butt should i tag your mama,positive,32
tum na paida hti to kya hta mra,positive,31
mama ko zaroor thanks kahin,positive,27
k momy daddy apka thankyu,positive,25
thank u mommy daddy tu tau nawafil parh apne ami abu k liye iykwim,positive,66
yeah cx they deserv akhir koi km karnama nae kia shukrany k nafanil ada krny hi chaheay,positive,87
meri taraf se bohat shukriya p,positive,30
aunty specaily ap ka bht shukriya,positive,33
antiii ne bht naik kaam kiya,positive,28
i grateful to ur parents,positive,24
thank you so much aunti,positive,23
main tou fakhar kar rahi hun,positive,28
alhamdulillah,positive,13
mai shukar guzar hn ami abu ki,positive,30
special mili hon bai mein touuu,positive,31
thankyou bolna ami baba ko,positive,26
ama ko thanx kehna apni,positive,23
still u r my buddy,positive,18
aunty fari ko shukria kehna,positive,27
tell aunty bauhat shukria,positive,25
haha i love u so much meri jan,positive,30
thanks to parents,positive,17
thankew sooo mch anty,positive,21
hahaha ma zaror karu g,positive,22
hahaha thk hai g zror krna,positive,26
,positive,0
phupho thanku,positive,13
thank u jaan g,positive,14
uncle aunty ka shukriya ada karna d p,positive,37
uncle aunty shukriya karna,positive,26
lol same to your parents as well,positive,32
bht hi na shukari ho waisay,positive,27
hahahhaa shokhi,positive,15
shukriya shehzadi auntie,positive,24
meri maa ko khushi honi,positive,23
anyaa ye tmne kaha tha mjhe,positive,27
lol,positive,3
aunty ko shukria kehna d,positive,24
okay,positive,4
yaar apne mamaki id btaaa,positive,25
chor tujhe unki nazar mn girana nhi chahti,positive,42
d d bs dil se dil ko raah hoti hai d,positive,36
hahahahaha wah,positive,14
uncle ko tag kron,positive,17
tum kro or agla ghanta bad face to face thanks krna aya ga,positive,58
robina aunty ka shukria adda kr dun unhe add kr ke,positive,50
heer naqvi,positive,10
hassan husnain,positive,14
reply kia na,positive,12
mjhay nahi tag kia,positive,18
ye aunty ko dikha do please d,positive,29
uncle aunty ka num de,positive,21
haniya khan,positive,11
hahaha,positive,6
aunty i love you,positive,16
zaib usman,positive,10
hadia kh,positive,8
atiya nisar,positive,11
tmhari ami ko b,positive,15
haha razzaque bhai ko b,positive,23
me b cemnt agency walo ka bra shukrguzar ho hahahah,positive,51
aunty bht bht shukriya,positive,22
hahahhahah,positive,10
heheheh,positive,7
tumhari ama ko na,positive,17
tag them please,positive,15
hahahaha main is main tumhain tag karnay wali thi,positive,49
jo chpairh wo maarain agay se uska kya,positive,38
anty uncle ko kehna zra,positive,23
you too p,positive,9
hate u,positive,6
seriously ajoobaa,positive,17
thank you muchone of a kind hun afteralldd,positive,42
lol namoona nahi anmol,positive,22
apni amma ko prha dena plx,positive,26
lkn mea q,positive,9
pass on the message,positive,19
hahaha nahi ye meri traf sy anti ko dikhao,positive,42
tmra knsa muun nahi hai,positive,23
inbox kr dn gi,positive,14
say my thanks to uncle and aunty,positive,32
love you too my honey,positive,21
hahahah,positive,7
naughty girl,positive,12
hahhahahahha me bhi bolti hn rk,positive,31
hahhahahha thanks fakhira parveen aqal deny k liye,positive,50
heheee,positive,6
aunti add hi nahi warna me unki shaan me qaseeday likhta,positive,56
hahahaha shukria,positive,16
aunty ko shukarya krdena,positive,24
hahahaha,positive,8
hahahha,positive,7
bus is main se ice cream hata do,positive,32
miss those midnight snacks,positive,26
exactly,positive,7
i havent eaten any pizza and burger from last two months and,positive,60
ek hi baat hai mai kron ya ap,positive,29
soch dekho hamari kitni milti hai,positive,33
kulsoom qureshi,positive,15
motuuu mjhe bhi bhej mai bhi jag luga,positive,37
my version of dieting,positive,21
ye tmhary wali diet,positive,19
buahhahaa yeahhh,positive,16
we arent haddi shah were smart,positive,30
thats what i do,positive,15
sta kho sa khwata nakige,positive,24
ri da,positive,5
mc donaldzzzz,positive,13
tu gym khaaaa,positive,13
haha,positive,4
many kb pochaaa,positive,15
uff esi diet,positive,12
yumna too bhi shamil hey,positive,24
pemra complain ki hum kuch friends nesirf tension na lein practicaly khud kuch krne se hi ho ga,positive,95
g bilqul aisy he hai i agree with u,positive,35
beshak,positive,6
bilkuk sahi kaha faisal qureshi ka kush kadre bhater show hai,positive,61
allahtaala ummat pe reham frmayaor ye lodhi jesey khabees logon k sharre sey naai nasal ko apni hifaazat meyn rakheyaameen,positive,122
done thanks urdu safhas admin for such initiative,positive,49
agr hm awaam he inlog ko ehmiyat dena or dekhna or feed back dena chordenge to ink shows ki koi value nahi rehegi,positive,113
hum sab ko milkar pakistan aur islami aqdaar ki hifazat karni hay musalmaan hony ka farz ada krein,positive,98
sahil lodhi ka kya ma bap zimadar wo keu apni bchieo ko bhjty in ke ghart kidr hote,positive,83
nahi ye galat bat hai is me sahir lodhi ka koe qasor nahi hai tv me achi baten b ati han wo to ap log catch nahi krty,positive,117
bilkul darosat,positive,14
bilkul sahi,positive,11
bilkul sahi kahaaapñ ey,positive,23
bilkul sahi aese morning show ka bnd ho jana hi bhtr he,positive,55
bilco yh zaror hona chahey,positive,26
bilkul thehk,positive,12
bilkul,positive,6
beshak zaror krwana chaye,positive,25
agreed with attaria qadria,positive,26
sare comments bilkul sahi hn m sb ki taed krti hun aur sb k sath hun,positive,68
taab too hum khud unn koo saport karay hootay hai,positive,49
yar ajkl sakht pareshan hu rozgar ki fikr me bht acha lga parh k,positive,64
har taraqi ke leye islam zrori hai,positive,34
nhi pta allah or us k rasool saw ki etaat kro,positive,45
khoob,positive,5
boht aalaa,positive,10
jis na kaha hai ci kaha hai,positive,27
prime_minster ki kursi chahye kitna yaqeen_nazm_o_zabt or lagan chahye hogi,positive,75
allah ki raza mandi ke bagir koi cheez hasil nahi ki jasakti chahe insan kitna hi yaqeen or nazmosabt ke saath hasil karne ki koshish karle,positive,139
dil ko sukoon deney wali tehreer kash aesa wagat dobara aa jaey,positive,63
jis ne likha he bohat behtareen likha wah wah,positive,45
same thing k aik bunda chauti burai ko sahi samajh k kerta hay to wo bari burai ko asan samajh leta hay bacho ko roshnash karana apnay tahafuz k lye buri baat nahi,positive,163
bilkul right,positive,12
jis nay asbiat ki taraf dawat di us nay zulm ki taraf dawat di yehi asbiat to pehlay east pakistan ko kaha gar ab baki ko kaha rahi hai,positive,135
ap hongi hum tou muhabbat bantnay walay hy we beleieve in equal rights,positive,70
such kaha,positive,9
lol is page waly ki dp dekh or bat kia karaha yeh,positive,49
iss mein koi burai nahi,positive,23
iss mein koi burai nahi hey,positive,27
hidayat ki dua kije or roye aise logi par tv me dikhane se kuch nahi hoga agar aap rokne ki takat rakhti he to rokiye varna dil me bura janiye lekin uske gunaho ko kisi pe ujagar mat kariye yeh allah or bannde ka maam la he bas uske liye astag far kariya or meri bato ka bura laga ho to mujhe bhi maaf kijiye,positive,308
aik hadees hey moman kabhi laan taan nahin karta,positive,48
ye follow nh kr rha unki khushyon m shamil hua hai bs,positive,53
bilawal allah tumain salamat rakhey,positive,35
namaz qaim kro kiun k namaz behayai sy rokti hai islam mein hukam k sath reasoning bhi hai bss aqal mand logo k liye he nishaniyan hai aur wohi samjhty hain inko,positive,161
aur islaam mein soor ka goosht khana haram hailehaza kiun k uss mein bht harmful steroids hty jo insaani jism ko sakht nuksaan pohnchaty aur islaam mein hr wo cheez mana hai jiska insaan ko nuqsaan hai,positive,201
wah zbrdst,positive,10
thek allah pak ka koi b hukam maslehat k baghair nahi,positive,53
australia me shawal ka chand nazar aa gaya kal eid hogi,positive,55
pm nawazsharif ki nawasi mehar u nisa safdar aur raheel munir ka nikah masjid nabvi mein munaqid pm samait ahal e khana ki shirkat,positive,130
